	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14
c1	0.0	0.7530164971114944	0.05419949526097908	0.23940417359807636	0.00396959422639181	0.0072007119211660265	0.002715936487740576	0.0	0.0004899235125831726	0.0	0.0	0.0	0.0	0.0
c2	0.7530164971114944	0.0	1.0	0.717189253452484	0.11932446794964052	1.0	0.2823844426198802	0.07665494287729203	0.18870394418033218	0.0	0.0038553274309811635	0.003756696439460656	0.00049884811015736	0.0
c3	0.05419949526097908	1.0	0.0	0.7041117924934953	0.9635343193746999	0.15116927986718529	0.017405323920655476	0.00307831263901661	0.21676241144812958	0.007213761458678868	0.014276690697679995	0.010917349987285517	0.0010417037702978506	0.0005817817283172901
c4	0.23940417359807636	0.717189253452484	0.7041117924934953	0.0	0.33232465732465727	0.5418372126685665	0.12927769716090884	0.003136090199318153	0.23183312517919882	0.02765536888218771	0.002812070436091324	0.00675517944952574	0.0006064318564318565	0.00021167904422621402
c5	0.00396959422639181	0.11932446794964052	0.9635343193746999	0.33232465732465727	0.0	0.088985592311008	0.011956495076933034	0.002885848767712328	0.1488518387840834	0.7072010491233031	0.002515803756012633	0.012563639485017576	0.06860431105574687	0.021134531600333486
c6	0.0072007119211660265	1.0	0.15116927986718529	0.5418372126685665	0.088985592311008	0.0	1.0	0.07989208405626409	0.40580652566431324	0.0017395609000408388	0.00583714277642076	0.011472573174372693	0.0018023702146326849	0.00011983413825949567
c7	0.002715936487740576	0.2823844426198802	0.017405323920655476	0.12927769716090884	0.011956495076933034	1.0	0.0	0.3000650780734461	1.0	0.0007424524928195388	1.0	0.022620664766211697	0.0013187310746617315	0.00040916603574410123
c8	0.0	0.07665494287729203	0.00307831263901661	0.003136090199318153	0.002885848767712328	0.07989208405626409	0.3000650780734461	0.0	0.003895595018263515	0.0	1.0	0.013016911491112323	0.001352741609865154	0.0
c9	0.0004899235125831726	0.18870394418033218	0.21676241144812958	0.23183312517919882	0.1488518387840834	0.40580652566431324	1.0	0.003895595018263515	0.0	1.0	0.5819898516576021	0.779669027845842	0.18644144786974007	0.0009641276829043163
c10	0.0	0.0	0.007213761458678868	0.02765536888218771	0.7072010491233031	0.0017395609000408388	0.0007424524928195388	0.0	1.0	0.0	0.0005311540026959625	0.05353567822031601	0.8211160869194036	0.0005997405160157831
c11	0.0	0.0038553274309811635	0.014276690697679995	0.002812070436091324	0.002515803756012633	0.00583714277642076	1.0	1.0	0.5819898516576021	0.0005311540026959625	0.0	0.9154209789196964	0.005188845246776056	0.0004390789574172992
c12	0.0	0.003756696439460656	0.010917349987285517	0.00675517944952574	0.012563639485017576	0.011472573174372693	0.022620664766211697	0.013016911491112323	0.779669027845842	0.05353567822031601	0.9154209789196964	0.0	0.5445839767629189	0.00534807479228774
c13	0.0	0.00049884811015736	0.0010417037702978506	0.0006064318564318565	0.06860431105574687	0.0018023702146326849	0.0013187310746617315	0.001352741609865154	0.18644144786974007	0.8211160869194036	0.005188845246776056	0.5445839767629189	0.0	1.0
c14	0.0	0.0	0.0005817817283172901	0.00021167904422621402	0.021134531600333486	0.00011983413825949567	0.00040916603574410123	0.0	0.0009641276829043163	0.0005997405160157831	0.0004390789574172992	0.00534807479228774	1.0	0.0
