Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	JUN_HUMAN.H11MO.0.A	0.000140718	FOSL2_HUMAN.H11MO.0.A	0.000140718	FOSB_HUMAN.H11MO.0.A	0.000140718
pattern_1	SP3_HUMAN.H11MO.0.B	1.75315e-07	SP2_HUMAN.H11MO.0.A	2.76897e-06	KLF9_HUMAN.H11MO.0.C	5.3013e-06
pattern_2	CTCF_HUMAN.H11MO.0.A	1.02689e-13	CTCFL_HUMAN.H11MO.0.A	1.67144e-06	SNAI1_HUMAN.H11MO.0.C	0.510792
pattern_3	TWST1_HUMAN.H11MO.0.A	9.05917e-15	OLIG2_HUMAN.H11MO.0.B	0.0414727	ZNF85_HUMAN.H11MO.0.C	0.125044
pattern_4	RUNX3_HUMAN.H11MO.0.A	1.82664e-06	RUNX1_HUMAN.H11MO.0.A	3.61697e-06	PEBB_HUMAN.H11MO.0.C	5.34086e-06
pattern_5	NFYB_HUMAN.H11MO.0.A	6.44861e-11	NFYC_HUMAN.H11MO.0.A	8.78196e-08	NFYA_HUMAN.H11MO.0.A	6.00555e-07
pattern_6	ETV1_HUMAN.H11MO.0.A	4.09233e-06	ELF1_HUMAN.H11MO.0.A	4.09233e-06	ELK4_HUMAN.H11MO.0.A	4.09233e-06
pattern_7	NRF1_HUMAN.H11MO.0.A	1.85035e-07	ASCL1_HUMAN.H11MO.0.A	1.0	SNAI2_HUMAN.H11MO.0.A	1.0
pattern_8	CREB1_HUMAN.H11MO.0.A	0.000541429	ATF1_HUMAN.H11MO.0.B	0.000904323	ATF2_HUMAN.H11MO.0.B	0.000904323
pattern_9	FOSL2_HUMAN.H11MO.0.A	0.0136674	JUN_HUMAN.H11MO.0.A	0.0136674	FOSL1_HUMAN.H11MO.0.A	0.0136674
pattern_10	NFKB1_HUMAN.H11MO.1.B	0.000181238	TF65_HUMAN.H11MO.0.A	0.000320624	RELB_HUMAN.H11MO.0.C	0.00327008
pattern_11	ZN143_HUMAN.H11MO.0.A	2.21448e-21	ZNF76_HUMAN.H11MO.0.C	2.21448e-21	THA11_HUMAN.H11MO.0.B	1.04551e-17
pattern_12	ETS1_HUMAN.H11MO.0.A	0.00682449	ERG_HUMAN.H11MO.0.A	0.00942034	ELK1_HUMAN.H11MO.0.B	0.0185608
pattern_13	ETV5_HUMAN.H11MO.0.C	0.0488165	ETV4_HUMAN.H11MO.0.B	0.0488165	FOSB_HUMAN.H11MO.0.A	0.0488165
pattern_14	NFIC_HUMAN.H11MO.0.A	1.43087e-06	NFIA_HUMAN.H11MO.0.C	0.00811021	SMAD4_HUMAN.H11MO.0.B	0.293125
pattern_15	KAISO_HUMAN.H11MO.0.A	0.00047671	CEBPE_HUMAN.H11MO.0.A	1.0	E2F4_HUMAN.H11MO.0.A	1.0
