Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_HUMAN.H11MO.0.A	8.84752e-16	CTCFL_HUMAN.H11MO.0.A	5.56024e-07	SNAI1_HUMAN.H11MO.0.C	0.370613
pattern_1	FOSL2_HUMAN.H11MO.0.A	1.53201e-06	FOSB_HUMAN.H11MO.0.A	1.53201e-06	JUN_HUMAN.H11MO.0.A	1.53201e-06
pattern_2	RUNX3_HUMAN.H11MO.0.A	3.57017e-06	RUNX1_HUMAN.H11MO.0.A	6.2828e-05	RUNX2_HUMAN.H11MO.0.A	0.000650143
pattern_3	SP2_HUMAN.H11MO.0.A	2.05483e-16	SP3_HUMAN.H11MO.0.B	8.85536e-11	SP1_HUMAN.H11MO.0.A	9.41718e-09
pattern_4	TEAD4_HUMAN.H11MO.0.A	0.270425	NF2L2_HUMAN.H11MO.0.A	0.270425	MAFK_HUMAN.H11MO.0.A	0.270425
pattern_5	NFYB_HUMAN.H11MO.0.A	2.72953e-11	NFYC_HUMAN.H11MO.0.A	1.52431e-06	NFYA_HUMAN.H11MO.0.A	3.48738e-06
pattern_6	ELK4_HUMAN.H11MO.0.A	1.44833e-06	ETV1_HUMAN.H11MO.0.A	1.01324e-05	GABPA_HUMAN.H11MO.0.A	1.1935e-05
pattern_7	ETV5_HUMAN.H11MO.0.C	0.000184647	ERG_HUMAN.H11MO.0.A	0.000184647	ETS1_HUMAN.H11MO.0.A	0.000184647
pattern_8	NRF1_HUMAN.H11MO.0.A	2.53594e-07	ASCL1_HUMAN.H11MO.0.A	1.0		
pattern_9	NFIC_HUMAN.H11MO.0.A	6.2304e-09	NFIA_HUMAN.H11MO.0.C	5.39406e-07	ZN322_HUMAN.H11MO.0.B	0.0231082
pattern_10	FOSB_HUMAN.H11MO.0.A	0.0420463	JUN_HUMAN.H11MO.0.A	0.0420463	FOSL2_HUMAN.H11MO.0.A	0.0420463
pattern_11	TWST1_HUMAN.H11MO.0.A	9.79157e-18	OLIG2_HUMAN.H11MO.0.B	0.014507	ATOH1_HUMAN.H11MO.0.B	0.14242
pattern_12	ATF3_HUMAN.H11MO.0.A	0.000276911	ATF2_HUMAN.H11MO.0.B	0.0019401	ATF1_HUMAN.H11MO.0.B	0.0019401
pattern_13	FOXK1_HUMAN.H11MO.0.A	0.00250117	FOXC1_HUMAN.H11MO.0.C	0.00250117	FOXJ3_HUMAN.H11MO.0.A	0.00250117
pattern_14	ATF2_HUMAN.H11MO.0.B	3.92272e-06	CREB1_HUMAN.H11MO.0.A	0.00307993	ATF1_HUMAN.H11MO.0.B	0.00416501
pattern_15	THA11_HUMAN.H11MO.0.B	2.14065e-20	ZN143_HUMAN.H11MO.0.A	5.19414e-18	ZNF76_HUMAN.H11MO.0.C	7.49157e-18
pattern_16	TYY1_HUMAN.H11MO.0.A	4.61707e-07	TAF1_HUMAN.H11MO.0.A	3.43747e-05	ZFP42_HUMAN.H11MO.0.A	0.00460052
pattern_17	RFX2_HUMAN.H11MO.0.A	2.33995e-07	RFX1_HUMAN.H11MO.0.B	9.13647e-06	RFX3_HUMAN.H11MO.0.B	2.86823e-05
pattern_18	KAISO_HUMAN.H11MO.0.A	7.92139e-05	ZN436_HUMAN.H11MO.0.C	1.0	THB_HUMAN.H11MO.0.C	1.0
pattern_19	IRF1_HUMAN.H11MO.0.A	1.91929e-09	STAT2_HUMAN.H11MO.0.A	1.83082e-08	IRF2_HUMAN.H11MO.0.A	1.83766e-08
pattern_20	KLF4_HUMAN.H11MO.0.A	0.0221288	KLF1_HUMAN.H11MO.0.A	0.0676073	KLF5_HUMAN.H11MO.0.A	0.0676073
pattern_21	CEBPD_HUMAN.H11MO.0.C	2.56046e-05	CEBPA_HUMAN.H11MO.0.A	8.20843e-05	CEBPB_HUMAN.H11MO.0.A	0.000100815
pattern_22	SP1_HUMAN.H11MO.0.A	1.0	PRD14_HUMAN.H11MO.0.A	1.0	ZN436_HUMAN.H11MO.0.C	1.0
