Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	4.54931e-14	CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	2.36595e-10	Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	0.235302
pattern_1	Sp1(Zf)/Promoter/Homer	1.87089e-08	KLF1(Zf)/HUDEP2-KLF1-CutnRun(GSE136251)/Homer	3.44336e-06	KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	5.55845e-06
pattern_2	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	3.42364e-11	Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	1.31534e-07	Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	0.00137663
pattern_3	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	1.98128e-06	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	3.72181e-06	THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer	0.450167
pattern_4	NFY(CCAAT)/Promoter/Homer	5.75236e-10	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	0.308291	Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	0.890312
pattern_5	ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer	2.21884e-06	Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	0.000167597	Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	0.000831942
pattern_6	NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	4.55467e-09	NRF(NRF)/Promoter/Homer	4.71491e-06	ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)/Homer	1.0
pattern_7	GFY-Staf(?,Zf)/Promoter/Homer	9.1027e-17	Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	1.47106e-14	ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	1.17638e-06
pattern_8	Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	1.45931e-06	Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	1.94421e-06	Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	3.57165e-06
pattern_9	CRE(bZIP)/Promoter/Homer	2.29956e-05	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	0.000201045	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	0.000305903
pattern_10	REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	2.10744e-14	ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	1.0	Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)/Homer	1.0
pattern_11	Sp1(Zf)/Promoter/Homer	0.538589	Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	0.538589	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	0.902305
pattern_12	GFX(?)/Promoter/Homer	0.00017976	ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer	0.000552082	E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	0.999985
pattern_13	RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	3.23061e-10	Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	3.23061e-10	Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	6.92981e-08
pattern_14	NRF(NRF)/Promoter/Homer	0.38867	Sp1(Zf)/Promoter/Homer	0.554093	NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	0.798022
pattern_15	Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	1.0	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	1.0	Sp1(Zf)/Promoter/Homer	1.0
pattern_16	PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	0.377241	PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	0.377241	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	0.377241
pattern_17	Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer	0.0137639	Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	0.0176789	Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)/Homer	0.0241703
pattern_18	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	0.0541866	NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer	0.714218	ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer	0.714218
pattern_19	Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)/Homer	0.0731753	Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer	0.0731753	FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer	0.0731753
