Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_MA0139.1	4.54142e-19	CTCF_HUMAN.H11MO.0.A	1.73101e-18	CTCF_MOUSE.H11MO.0.A	1.31552e-14
pattern_1	KLF3_HUMAN.H11MO.0.B	2.42057e-08	KLF3_MOUSE.H11MO.0.A	2.42057e-08	KLF1_HUMAN.H11MO.0.A	1.91347e-05
pattern_2	FOSB+JUNB_MA1135.1	2.32114e-07	FOSL2+JUNB_MA1138.1	2.32114e-07	FOSL2+JUND_MA1144.1	5.04031e-07
pattern_3	ELK4_MA0076.2	1.81198e-07	ETV1_HUMAN.H11MO.0.A	1.87723e-06	ELF1_MOUSE.H11MO.0.A	2.50297e-06
pattern_4	CREB1_MA0018.3	6.12627e-05	CREB3_bZIP_1	8.83904e-05	JDP2_MA0656.1	8.83904e-05
pattern_5	NFYB_HUMAN.H11MO.0.A	3.07028e-09	NFYB_MOUSE.H11MO.0.A	3.07028e-09	NFYC_HUMAN.H11MO.0.A	5.13353e-05
pattern_6	NFIC_HUMAN.H11MO.0.A	2.46704e-12	NFIB_MOUSE.H11MO.0.C	8.48246e-06	NFIA_HUMAN.H11MO.0.C	2.50231e-05
pattern_7	NRF1_HUMAN.H11MO.0.A	1.02752e-06	NRF1_MOUSE.H11MO.0.A	1.02752e-06	NRF1_MA0506.1	3.10919e-06
pattern_8	TEAD3_MA0808.1	0.00342206	TEAD3_TEA_2	0.00342206	TEAD1_MOUSE.H11MO.0.A	0.103365
pattern_9	ZN143_HUMAN.H11MO.0.A	2.15621e-22	ZN143_MOUSE.H11MO.0.A	2.15621e-22	ZNF76_HUMAN.H11MO.0.C	6.96306e-20
pattern_10	FOXL2_MOUSE.H11MO.0.C	0.00574127	FOXK1_HUMAN.H11MO.0.A	0.0109378	Foxc1.mouse_forkhead_2	0.0109378
pattern_11	RUNX3_HUMAN.H11MO.0.A	0.00031369	RUNX1_MOUSE.H11MO.0.A	0.00293839	RUNX1_HUMAN.H11MO.0.A	0.00293839
pattern_12	TWST1_HUMAN.H11MO.0.A	3.29923e-17	TWST1_MOUSE.H11MO.0.B	7.90726e-17	TWIST1_MA1123.1	0.00959694
pattern_13	TYY1_HUMAN.H11MO.0.A	2.28629e-06	TYY1_MOUSE.H11MO.0.A	6.59282e-06	YY1_MA0095.2	6.59282e-06
pattern_14	Rfx1_MA0509.1	6.87042e-10	RFX2_HUMAN.H11MO.0.A	6.87042e-10	RFX2_MOUSE.H11MO.0.A	7.60248e-10
pattern_15	CEBPE_MA0837.1	0.000674642	CEBPE_bZIP_1	0.000674642	CEBPG_MA0838.1	0.000674642
pattern_16	KAISO_HUMAN.H11MO.0.A	0.000270577	KAISO_MOUSE.H11MO.0.B	0.000270577	ZBTB33_MA0527.1	0.000270577
pattern_17	RFX3_RFX_2	8.3707e-06	Rfx2.mouse_RFX_2	8.3707e-06	RFX2_RFX_2	8.3707e-06
pattern_18	ZNF524_C2H2_2	0.645817	SP1_MOUSE.H11MO.0.A	1.0	SP2_HUMAN.H11MO.0.A	1.0
