Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_HUMAN.H11MO.0.A	1.6731e-15	CTCFL_HUMAN.H11MO.0.A	6.61009e-08	SNAI1_HUMAN.H11MO.0.C	0.264127
pattern_1	SP3_HUMAN.H11MO.0.B	4.57033e-10	SP2_HUMAN.H11MO.0.A	1.91374e-08	KLF3_HUMAN.H11MO.0.B	2.53061e-06
pattern_2	PO5F1_HUMAN.H11MO.0.A	9.95996e-11	NANOG_HUMAN.H11MO.0.A	1.74025e-10	PO3F1_HUMAN.H11MO.0.C	0.000915654
pattern_3	TEAD4_HUMAN.H11MO.0.A	0.000801133	TEAD1_HUMAN.H11MO.0.A	0.00127599	P63_HUMAN.H11MO.0.A	1.0
pattern_4	NFYB_HUMAN.H11MO.0.A	2.62704e-12	NFYC_HUMAN.H11MO.0.A	9.29901e-09	NFYA_HUMAN.H11MO.0.A	1.957e-07
pattern_5	NANOG_HUMAN.H11MO.0.A	2.16764e-05	PO5F1_HUMAN.H11MO.0.A	2.16764e-05	LEF1_HUMAN.H11MO.0.A	0.000785391
pattern_6	ELK4_HUMAN.H11MO.0.A	1.45606e-05	ELK1_HUMAN.H11MO.0.B	1.45606e-05	ELF2_HUMAN.H11MO.0.C	1.45606e-05
pattern_7	NRF1_HUMAN.H11MO.0.A	8.80059e-05	HEN1_HUMAN.H11MO.0.C	1.0	ASCL1_HUMAN.H11MO.0.A	1.0
pattern_8	ZIC3_HUMAN.H11MO.0.B	1.21333e-07	TFAP4_HUMAN.H11MO.0.A	0.203003	ZKSC1_HUMAN.H11MO.0.B	0.547383
pattern_9	JUND_HUMAN.H11MO.0.A	1.06789e-05	JUN_HUMAN.H11MO.0.A	2.05563e-05	FOSL2_HUMAN.H11MO.0.A	4.97443e-05
pattern_10	USF2_HUMAN.H11MO.0.A	1.3516e-05	ATF3_HUMAN.H11MO.0.A	0.00034717	ATF2_HUMAN.H11MO.0.B	0.00111101
pattern_11	SIX1_HUMAN.H11MO.0.A	4.66831e-10	SIX2_HUMAN.H11MO.0.A	7.77369e-08	RXRB_HUMAN.H11MO.0.C	0.179177
pattern_12	RFX2_HUMAN.H11MO.0.A	4.37213e-07	RFX1_HUMAN.H11MO.0.B	2.7098e-06	RFX3_HUMAN.H11MO.0.B	3.93038e-06
pattern_13	ZN143_HUMAN.H11MO.0.A	1.28008e-17	THA11_HUMAN.H11MO.0.B	4.39111e-17	ZNF76_HUMAN.H11MO.0.C	4.098e-15
pattern_14	TEAD4_HUMAN.H11MO.0.A	0.000100977	TEAD1_HUMAN.H11MO.0.A	0.0199352	STAT3_HUMAN.H11MO.0.A	0.366783
pattern_15	REST_HUMAN.H11MO.0.A	2.87355e-18	ZN335_HUMAN.H11MO.0.A	0.701967	CLOCK_HUMAN.H11MO.0.C	1.0
pattern_16	CTCFL_HUMAN.H11MO.0.A	0.856329	MYCN_HUMAN.H11MO.0.A	0.856329	CTCF_HUMAN.H11MO.0.A	1.0
pattern_17	GRHL2_HUMAN.H11MO.0.A	0.000325121	AIRE_HUMAN.H11MO.0.C	0.559499	ZN140_HUMAN.H11MO.0.C	1.0
pattern_18	KAISO_HUMAN.H11MO.0.A	2.42563e-05	COE1_HUMAN.H11MO.0.A	0.999997	TFE3_HUMAN.H11MO.0.B	0.999997
pattern_19	PO3F2_HUMAN.H11MO.0.A	0.000316444	PIT1_HUMAN.H11MO.0.C	0.12265	PO2F2_HUMAN.H11MO.0.A	0.668706
pattern_20	TYY1_HUMAN.H11MO.0.A	2.55491e-08	THAP1_HUMAN.H11MO.0.C	5.26958e-08	TAF1_HUMAN.H11MO.0.A	2.51869e-05
pattern_21	ZN436_HUMAN.H11MO.0.C	1.0	PRD14_HUMAN.H11MO.0.A	1.0	SP2_HUMAN.H11MO.0.A	1.0
