Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	SP2_HUMAN.H11MO.0.A	1.43466e-06	SP3_HUMAN.H11MO.0.B	1.43466e-06	PATZ1_HUMAN.H11MO.0.C	2.75408e-06
pattern_1	CTCF_HUMAN.H11MO.0.A	5.81063e-09	CTCFL_HUMAN.H11MO.0.A	9.8628e-06	ZIC3_HUMAN.H11MO.0.B	0.0138899
pattern_2	NRF1_HUMAN.H11MO.0.A	0.0121394	MYF6_HUMAN.H11MO.0.C	0.808101	SP3_HUMAN.H11MO.0.B	0.808101
pattern_3	CTCFL_HUMAN.H11MO.0.A	2.17839e-09	CTCF_HUMAN.H11MO.0.A	2.31099e-06	KLF8_HUMAN.H11MO.0.C	0.100881
pattern_4	NANOG_HUMAN.H11MO.0.A	1.18578e-06	PO5F1_HUMAN.H11MO.0.A	1.18578e-06	PO3F1_HUMAN.H11MO.0.C	0.000219631
pattern_5	ETS1_HUMAN.H11MO.0.A	3.79415e-06	ERG_HUMAN.H11MO.0.A	0.000124934	ETV1_HUMAN.H11MO.0.A	0.000162147
pattern_6	NANOG_HUMAN.H11MO.0.A	0.00135734	SOX2_HUMAN.H11MO.0.A	0.00135734	PO5F1_HUMAN.H11MO.0.A	0.00135734
pattern_7	TEAD4_HUMAN.H11MO.0.A	8.98127e-05	TEAD1_HUMAN.H11MO.0.A	0.00100998	P63_HUMAN.H11MO.0.A	1.0
pattern_8	AP2C_HUMAN.H11MO.0.A	1.47569e-05	AP2A_HUMAN.H11MO.0.A	8.9271e-05	ZN770_HUMAN.H11MO.0.C	0.20467
pattern_9	BACH2_HUMAN.H11MO.0.A	0.00054888	JUNB_HUMAN.H11MO.0.A	0.00054888	JUND_HUMAN.H11MO.0.A	0.00054888
pattern_10	NFYB_HUMAN.H11MO.0.A	3.05059e-12	NFYC_HUMAN.H11MO.0.A	1.50388e-08	NFYA_HUMAN.H11MO.0.A	4.47397e-07
pattern_11	ASCL1_HUMAN.H11MO.0.A	0.0233113	TFE2_HUMAN.H11MO.0.A	0.0233113	BHA15_HUMAN.H11MO.0.B	0.0233113
pattern_12	ZNF76_HUMAN.H11MO.0.C	3.1939e-09	ZN143_HUMAN.H11MO.0.A	3.1939e-09	THA11_HUMAN.H11MO.0.B	3.44445e-09
pattern_13	KLF4_HUMAN.H11MO.0.A	0.00585741	KLF5_HUMAN.H11MO.0.A	0.015363	KLF9_HUMAN.H11MO.0.C	0.0339104
pattern_14	REST_HUMAN.H11MO.0.A	0.00173022	MYOG_HUMAN.H11MO.0.B	0.497001	RELB_HUMAN.H11MO.0.C	0.568394
pattern_15	REST_HUMAN.H11MO.0.A	4.99833e-06	TFE2_HUMAN.H11MO.0.A	1.0	ITF2_HUMAN.H11MO.0.C	1.0
pattern_16	RFX1_HUMAN.H11MO.0.B	2.11254e-06	RFX2_HUMAN.H11MO.0.A	5.87111e-06	RFX5_HUMAN.H11MO.0.A	0.000346338
pattern_17	PRDM6_HUMAN.H11MO.0.C	0.00431014	ANDR_HUMAN.H11MO.0.A	0.021286	FOXJ3_HUMAN.H11MO.0.A	0.0287662
pattern_18	MAZ_HUMAN.H11MO.0.A	5.68136e-05	VEZF1_HUMAN.H11MO.0.C	6.84938e-05	ZN467_HUMAN.H11MO.0.C	7.27409e-05
pattern_19	REST_HUMAN.H11MO.0.A	6.57474e-17	ZN335_HUMAN.H11MO.0.A	1.0	CLOCK_HUMAN.H11MO.0.C	1.0
pattern_20	USF2_HUMAN.H11MO.0.A	0.000587998	ATF2_HUMAN.H11MO.0.B	0.000934053	ATF1_HUMAN.H11MO.0.B	0.000934053
pattern_21	EGR2_HUMAN.H11MO.0.A	1.0	EGR1_HUMAN.H11MO.0.A	1.0		
pattern_22	RXRB_HUMAN.H11MO.0.C	1.0	ZN449_HUMAN.H11MO.0.C	1.0	CEBPG_HUMAN.H11MO.0.B	1.0
pattern_23	ZN331_HUMAN.H11MO.0.C	0.566548	COT1_HUMAN.H11MO.0.C	0.626901	PAX5_HUMAN.H11MO.0.A	0.626901
pattern_24	SP2_HUMAN.H11MO.0.A	0.0493626	SP1_HUMAN.H11MO.0.A	0.0493626	PTF1A_HUMAN.H11MO.0.B	0.0595019
