Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	SP1_MOUSE.H11MO.0.A	3.31613e-09	SP5_MOUSE.H11MO.0.C	3.31613e-09	SP2_MA0516.1	8.12108e-09
pattern_1	CTCF_MA0139.1	1.0043e-10	CTCF_HUMAN.H11MO.0.A	5.34868e-10	CTCF_MOUSE.H11MO.0.A	1.05216e-09
pattern_2	NRF1_MA0506.1	2.1501e-05	NRF1_MOUSE.H11MO.0.A	0.00483519	NRF1_HUMAN.H11MO.0.A	0.00536756
pattern_3	CTCFL_MOUSE.H11MO.0.A	1.98539e-09	CTCFL_HUMAN.H11MO.0.A	1.98539e-09	CTCF_MOUSE.H11MO.0.A	3.02205e-08
pattern_4	PO5F1_MOUSE.H11MO.0.A	1.98601e-05	PO5F1_HUMAN.H11MO.0.A	1.98601e-05	NANOG_HUMAN.H11MO.0.A	1.98601e-05
pattern_5	ETS1_MOUSE.H11MO.0.A	2.98399e-06	ERG_MOUSE.H11MO.0.A	6.32038e-06	ETS1_HUMAN.H11MO.0.A	1.16313e-05
pattern_6	NANOG_MOUSE.H11MO.0.A	0.00234871	Sox3_MA0514.1	0.00301114	SOX2_MOUSE.H11MO.0.A	0.00301114
pattern_7	TEAD4_MOUSE.H11MO.0.A	8.64147e-05	TEAD4_HUMAN.H11MO.0.A	0.000425487	TEAD3_TEA_1	0.00137042
pattern_8	AP2A_MOUSE.H11MO.0.A	9.94727e-06	AP2C_HUMAN.H11MO.0.A	1.4834e-05	AP2A_HUMAN.H11MO.0.A	0.000165069
pattern_9	ATF3_MOUSE.H11MO.0.A	0.00329041	JUN_MOUSE.H11MO.0.A	0.00329041	NFE2_MA0841.1	0.00329041
pattern_10	NFYB_HUMAN.H11MO.0.A	5.10977e-14	NFYB_MOUSE.H11MO.0.A	5.10977e-14	NFYC_HUMAN.H11MO.0.A	4.62888e-08
pattern_11	ASCL1_MOUSE.H11MO.0.A	0.0292898	Tcf12_MA0521.1	0.0292898	Myog_MA0500.1	0.0292898
pattern_12	ZN143_MOUSE.H11MO.0.A	9.02294e-09	ZNF76_HUMAN.H11MO.0.C	1.61572e-08	ZN143_HUMAN.H11MO.0.A	1.76755e-08
pattern_13	Klf1_MA0493.1	0.000238992	KLF9_MA1107.1	0.00383218	KLF4_HUMAN.H11MO.0.A	0.00588591
pattern_14	REST_MA0138.2	0.0032871	REST_HUMAN.H11MO.0.A	0.0032871	REST_MOUSE.H11MO.0.A	0.0032871
pattern_15	REST_MA0138.2	2.37558e-05	REST_HUMAN.H11MO.0.A	3.09545e-05	REST_MOUSE.H11MO.0.A	7.59998e-05
pattern_16	Rfx1_MA0509.1	6.56887e-07	RFX2_MOUSE.H11MO.0.A	7.85383e-07	RFX1_HUMAN.H11MO.0.B	3.74385e-06
pattern_17	PRDM6_HUMAN.H11MO.0.C	0.100478	ZNF384_MA1125.1	0.100478	STAT1_MOUSE.H11MO.0.A	0.118146
pattern_18	SP5_MOUSE.H11MO.0.C	6.93063e-05	MAZ_HUMAN.H11MO.0.A	6.93063e-05	MAZ_MOUSE.H11MO.0.A	6.93063e-05
pattern_19	REST_MA0138.2	5.26462e-17	REST_HUMAN.H11MO.0.A	1.94961e-16	REST_MOUSE.H11MO.0.A	5.19129e-16
pattern_20	CREB1_MA0018.3	1.83697e-05	JDP2_MA0656.1	0.000181893	JDP2_bZIP_4	0.000181893
pattern_21	RREB1_MA0073.1	1.0				
pattern_22	RXRB_HUMAN.H11MO.0.C	1.0	RXRB_MOUSE.H11MO.0.C	1.0	ZN449_HUMAN.H11MO.0.C	1.0
pattern_23	ZN331_HUMAN.H11MO.0.C	0.579859	COT1_HUMAN.H11MO.0.C	0.579859	Nr5a2_MA0505.1	0.579859
pattern_24	PBX3_MA1114.1	0.0256502	ZFX_MOUSE.H11MO.0.B	0.0256502	SP1_MOUSE.H11MO.0.A	0.0295869
