	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14
c1	0.0	1.0	0.11208023615523222	0.21523360120732205	0.013961145519185831	0.2479253024140833	0.697358728474571	0.03029265156439164	0.05306637826312836	0.00808242896047288	0.013249453146263995	0.001223023387415935	0.0007753059405848352	0.0008909486878224578
c2	1.0	0.0	1.0	0.4938930271769454	0.19463102495172466	1.0	1.0	0.07978137259223343	1.0	0.6752249286811499	0.1989861357112319	0.007530841082610415	0.11082485151919065	0.009220287178834092
c3	0.11208023615523222	1.0	0.0	0.48500100260135465	0.12645420716781713	0.4714166863534118	0.253712973334969	0.016803068038174527	0.3420844885757912	0.059271908096945485	0.03366693613275472	0.012434581884209964	0.00980945884603782	0.001716942236205391
c4	0.21523360120732205	0.4938930271769454	0.48500100260135465	0.0	0.24696757512481288	0.46276414062927296	0.7036256992241466	0.0022846990554750545	0.30697637725758126	0.04981970540387185	0.012029883124164035	0.027050011703433414	0.01581962957350214	0.000264041351060206
c5	0.013961145519185831	0.19463102495172466	0.12645420716781713	0.24696757512481288	0.0	0.1006653883598721	0.03977939052463244	0.0	0.0479668380104167	0.4301734736626112	0.0016818040742445904	0.0038953589867008974	0.019246545642453646	0.002454751781377908
c6	0.2479253024140833	1.0	0.4714166863534118	0.46276414062927296	0.1006653883598721	0.0	1.0	0.4385879180802518	0.5688214791320259	0.1378257774377225	0.07231917630073735	0.05008898337733187	0.002422447249505538	0.008943345003955746
c7	0.697358728474571	1.0	0.253712973334969	0.7036256992241466	0.03977939052463244	1.0	0.0	1.0	1.0	0.5571609796510123	1.0	0.3174376440608199	0.06047952571237422	0.07061548593564931
c8	0.03029265156439164	0.07978137259223343	0.016803068038174527	0.0022846990554750545	0.0	0.4385879180802518	1.0	0.0	0.1609754433514297	0.05478106451944673	1.0	0.06101933114776019	0.0	0.007501440446386754
c9	0.05306637826312836	1.0	0.3420844885757912	0.30697637725758126	0.0479668380104167	0.5688214791320259	1.0	0.1609754433514297	0.0	1.0	0.9423237028032533	0.5872650053102146	0.15901938729922177	0.04351831649528691
c10	0.00808242896047288	0.6752249286811499	0.059271908096945485	0.04981970540387185	0.4301734736626112	0.1378257774377225	0.5571609796510123	0.05478106451944673	1.0	0.0	0.3059411836560191	0.0840802211516286	0.38291727864213587	0.12457518853749541
c11	0.013249453146263995	0.1989861357112319	0.03366693613275472	0.012029883124164035	0.0016818040742445904	0.07231917630073735	1.0	1.0	0.9423237028032533	0.3059411836560191	0.0	0.7791055950629471	0.05355690131100059	0.011172059170890624
c12	0.001223023387415935	0.007530841082610415	0.012434581884209964	0.027050011703433414	0.0038953589867008974	0.05008898337733187	0.3174376440608199	0.06101933114776019	0.5872650053102146	0.0840802211516286	0.7791055950629471	0.0	0.7311867930522233	0.0392097176741092
c13	0.0007753059405848352	0.11082485151919065	0.00980945884603782	0.01581962957350214	0.019246545642453646	0.002422447249505538	0.06047952571237422	0.0	0.15901938729922177	0.38291727864213587	0.05355690131100059	0.7311867930522233	0.0	0.7318640186839217
c14	0.0008909486878224578	0.009220287178834092	0.001716942236205391	0.000264041351060206	0.002454751781377908	0.008943345003955746	0.07061548593564931	0.007501440446386754	0.04351831649528691	0.12457518853749541	0.011172059170890624	0.0392097176741092	0.7318640186839217	0.0
