Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	ZN467_HUMAN.H11MO.0.C	1.78758e-06	PATZ1_HUMAN.H11MO.0.C	1.78758e-06	SP2_HUMAN.H11MO.0.A	2.50531e-06
pattern_1	FOS_HUMAN.H11MO.0.A	0.000232614	JUNB_HUMAN.H11MO.0.A	0.000555844	JUND_HUMAN.H11MO.0.A	0.000555844
pattern_2	CTCF_HUMAN.H11MO.0.A	3.57323e-15	CTCFL_HUMAN.H11MO.0.A	3.11166e-08	ZIC3_HUMAN.H11MO.0.B	0.126454
pattern_3	NANOG_HUMAN.H11MO.0.A	0.00084705	PO5F1_HUMAN.H11MO.0.A	0.00084705	PO2F2_HUMAN.H11MO.0.A	0.00125529
pattern_4	SOX3_HUMAN.H11MO.0.B	0.00606947	SOX2_HUMAN.H11MO.0.A	0.00607138	SOX4_HUMAN.H11MO.0.B	0.00790302
pattern_5	PO3F1_HUMAN.H11MO.0.C	0.000614959	PO5F1_HUMAN.H11MO.0.A	0.00119499	NANOG_HUMAN.H11MO.0.A	0.00149454
pattern_6	NANOG_HUMAN.H11MO.0.A	1.51462e-06	PO5F1_HUMAN.H11MO.0.A	5.91985e-06	PO3F1_HUMAN.H11MO.0.C	0.0151382
pattern_7	KLF4_HUMAN.H11MO.0.A	0.0463118	KLF5_HUMAN.H11MO.0.A	0.0463118	EGR2_HUMAN.H11MO.0.A	0.072973
pattern_8	ETV1_HUMAN.H11MO.0.A	6.72899e-06	ELF1_HUMAN.H11MO.0.A	6.72899e-06	ETS1_HUMAN.H11MO.0.A	1.48288e-05
pattern_9	NRF1_HUMAN.H11MO.0.A	0.000543926				
pattern_10	NFYB_HUMAN.H11MO.0.A	9.32192e-12	NFYC_HUMAN.H11MO.0.A	5.98064e-08	NFYA_HUMAN.H11MO.0.A	5.84853e-07
pattern_11	LYL1_HUMAN.H11MO.0.A	0.00351445	OLIG2_HUMAN.H11MO.0.B	0.00698655	PTF1A_HUMAN.H11MO.0.B	0.0147795
pattern_12	TEAD4_HUMAN.H11MO.0.A	0.11641	TEAD1_HUMAN.H11MO.0.A	0.11641	BCL6_HUMAN.H11MO.0.A	1.0
pattern_13	SP2_HUMAN.H11MO.0.A	0.000105439	SP1_HUMAN.H11MO.0.A	0.00102491	SP3_HUMAN.H11MO.0.B	0.00235469
pattern_14	ZN143_HUMAN.H11MO.0.A	9.59012e-18	THA11_HUMAN.H11MO.0.B	3.03409e-16	ZNF76_HUMAN.H11MO.0.C	5.14824e-15
pattern_15	TAF1_HUMAN.H11MO.0.A	0.000671324	THAP1_HUMAN.H11MO.0.C	0.00792868	TYY1_HUMAN.H11MO.0.A	0.00792868
pattern_16	RUNX1_HUMAN.H11MO.0.A	0.000383751	RUNX2_HUMAN.H11MO.0.A	0.000635255	RUNX3_HUMAN.H11MO.0.A	0.000635255
pattern_19	SP2_HUMAN.H11MO.0.A	0.00446618	SP1_HUMAN.H11MO.0.A	0.00446618	SP3_HUMAN.H11MO.0.B	0.00516454
pattern_20	ATF2_HUMAN.H11MO.0.B	0.000318089	CREB1_HUMAN.H11MO.0.A	0.000318089	ATF1_HUMAN.H11MO.0.B	0.000422642
pattern_21	PRDM6_HUMAN.H11MO.0.C	0.00386789	ANDR_HUMAN.H11MO.0.A	0.0175924	FOXJ3_HUMAN.H11MO.0.A	0.0205615
pattern_22	SP1_HUMAN.H11MO.0.A	0.0648253	BHA15_HUMAN.H11MO.0.B	0.0648253	SP2_HUMAN.H11MO.0.A	0.0648253
pattern_23	CTCFL_HUMAN.H11MO.0.A	0.000264122	SP1_HUMAN.H11MO.0.A	0.000576428	SP2_HUMAN.H11MO.0.A	0.000757611
pattern_24	USF2_HUMAN.H11MO.0.A	2.72682e-10	USF1_HUMAN.H11MO.0.A	1.10715e-05	MITF_HUMAN.H11MO.0.A	0.000135308
pattern_25	JUNB_HUMAN.H11MO.0.A	0.0398247	FOSL1_HUMAN.H11MO.0.A	0.0398247	JUN_HUMAN.H11MO.0.A	0.0398247
pattern_26	CTCFL_HUMAN.H11MO.0.A	0.00577313	SP1_HUMAN.H11MO.0.A	0.0279796	SP2_HUMAN.H11MO.0.A	0.0555319
pattern_27	STAT2_HUMAN.H11MO.0.A	0.201522	PO3F1_HUMAN.H11MO.0.C	0.201522	PO5F1_HUMAN.H11MO.0.A	0.249984
pattern_28	ZN350_HUMAN.H11MO.0.C	1.0	ZN264_HUMAN.H11MO.0.C	1.0	TBP_HUMAN.H11MO.0.A	1.0
