Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	Sp1(Zf)/Promoter/Homer	8.99226e-07	Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	1.47911e-05	KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	4.13545e-05
pattern_1	BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	1.51383e-16	CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	3.31127e-09	Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	0.0609623
pattern_2	NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer	0.00402617	Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer	0.00402617	MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	0.00521177
pattern_3	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	2.39701e-09	Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer	9.5336e-08	Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer	0.000300684
pattern_4	ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	1.52415e-07	ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	1.94243e-06	ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer	0.00120093
pattern_5	SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer	0.00864159	E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	0.00864159	MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	0.00864159
pattern_6	TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	2.02838e-07	TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer	1.80022e-06	TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)/Homer	1.19141e-05
pattern_7	NRF(NRF)/Promoter/Homer	0.000201683	NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	0.000418943	bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	0.741267
pattern_8	NFY(CCAAT)/Promoter/Homer	8.96647e-06	En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	0.147912	Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	0.538692
pattern_9	RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	5.17294e-05	RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	5.17294e-05	RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	0.000594984
pattern_10	EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	1.01757e-06	Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	1.60589e-06	KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	0.00044259
pattern_11	Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	4.6137e-06	Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer	4.6137e-06	JunD(bZIP)/K562-JunD-ChIP-Seq/Homer	1.44691e-05
pattern_12	Sp1(Zf)/Promoter/Homer	0.337637	Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)/Homer	1.0	Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	1.0
pattern_13	FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	0.0679877				
pattern_14	REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	5.80941e-05	NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer	0.869868	Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer	0.869868
pattern_15	GFY-Staf(?,Zf)/Promoter/Homer	1.50727e-09	Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	1.63041e-08	ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	4.85401e-06
pattern_16	Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	1.31369e-09	RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	1.31369e-09	Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	9.82453e-07
pattern_17	REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	2.54809e-10	Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)/Homer	1.0	ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	1.0
pattern_18	AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	0.000173254	AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	0.000173254	Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)/Homer	0.510884
pattern_19	Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	1.0	Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	1.0	KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	1.0
pattern_20	Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)/Homer	0.000614603	Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer	0.00480258	Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)/Homer	0.00480258
