Pattern	match_1	q-value	match_2	q-value	match_3	q-value
pattern_0	CTCF_MA0139.1	7.98351e-21	CTCF_HUMAN.H11MO.0.A	3.35208e-19	CTCF_MOUSE.H11MO.0.A	3.18288e-15
pattern_1	PO5F1_MOUSE.H11MO.0.A	2.32974e-11	Pou5f1+Sox2_MA0142.1	1.96204e-10	PO5F1_HUMAN.H11MO.0.A	1.96204e-10
pattern_2	SP1_HUMAN.H11MO.0.A	9.52114e-06	ZN281_MOUSE.H11MO.0.A	5.72508e-05	SP3_HUMAN.H11MO.0.B	5.72508e-05
pattern_3	JUN_MA0489.1	3.92241e-07	FOSB+JUNB_MA1135.1	3.92241e-07	FOSL2+JUNB_MA1138.1	3.92241e-07
pattern_4	ELK4_MA0076.2	2.49972e-07	Gabpa_MA0062.2	9.85188e-07	ELF1_MOUSE.H11MO.0.A	1.31358e-06
pattern_5	NFYB_HUMAN.H11MO.0.A	2.41479e-09	NFYB_MOUSE.H11MO.0.A	2.41479e-09	NFYC_HUMAN.H11MO.0.A	5.44606e-05
pattern_6	NRF1_HUMAN.H11MO.0.A	9.50419e-08	NRF1_NRF_1	8.57551e-07	NRF1_MOUSE.H11MO.0.A	8.87393e-07
pattern_7	CREB1_MA0018.3	4.56253e-06	CREB3_bZIP_1	0.00024868	ATF1_MOUSE.H11MO.0.B	0.000426461
pattern_8	TWST1_HUMAN.H11MO.0.A	2.92985e-06	TWST1_MOUSE.H11MO.0.B	2.92985e-06	TWIST1_MA1123.1	0.000472063
pattern_9	ZN143_HUMAN.H11MO.0.A	3.85124e-21	ZN143_MOUSE.H11MO.0.A	3.85124e-21	ZNF76_HUMAN.H11MO.0.C	3.85124e-21
pattern_10	NFIC_HUMAN.H11MO.0.A	1.20125e-07	NFIA_NFI_1	5.39289e-05	NFIA_HUMAN.H11MO.0.C	5.39289e-05
pattern_11	RFX3_MOUSE.H11MO.0.C	1.40024e-10	Rfx1_MA0509.1	3.36195e-10	RFX1_HUMAN.H11MO.0.B	3.36195e-10
pattern_12	KAISO_HUMAN.H11MO.0.A	1.80929e-05	KAISO_MOUSE.H11MO.0.B	1.80929e-05	ZBTB33_MA0527.1	1.80929e-05
