query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	enrichment
query_1	TRUE	7.93136331552032e-14	2484	193	73	0.378238341968912	0.0293880837359098	GO:0007399	GO:BP	nervous system development	18123	3289	2.75958674376111
query_1	TRUE	5.99589706098037e-13	1427	193	53	0.274611398963731	0.0371408549404345	GO:0030182	GO:BP	neuron differentiation	18123	7753	3.48758401080567
query_1	TRUE	1.21524148288947e-11	1698	193	56	0.290155440414508	0.032979976442874	GO:0022008	GO:BP	neurogenesis	18123	7567	3.09687105219795
query_1	TRUE	3.72565360445604e-11	1576	193	53	0.274611398963731	0.0336294416243655	GO:0048699	GO:BP	generation of neurons	18123	15044	3.15785684227138
query_1	TRUE	6.23225567691555e-10	1052	193	41	0.212435233160622	0.0389733840304183	GO:0007417	GO:BP	central nervous system development	18123	3304	3.65966134084596
query_1	TRUE	4.2462693724982e-08	5095	193	98	0.507772020725389	0.019234543670265	GO:0048731	GO:BP	system development	18123	15076	1.80615354889229
query_1	TRUE	7.78510379095287e-08	772	193	32	0.16580310880829	0.0414507772020725	GO:0007420	GO:BP	brain development	18123	3307	3.89229241053451
query_1	TRUE	1.09401106680533e-07	5670	193	104	0.538860103626943	0.018342151675485	GO:0007275	GO:BP	multicellular organism development	18123	3179	1.72235655344464
query_1	TRUE	3.20445824248762e-07	816	193	32	0.16580310880829	0.0392156862745098	GO:0060322	GO:BP	head development	18123	17147	3.68241389820177
query_1	TRUE	7.59540305537636e-07	8000	193	128	0.663212435233161	0.016	GO:0032501	GO:BP	multicellular organismal process	18123	8831	1.50242487046632
query_1	TRUE	1.49010891498084e-06	6164	193	107	0.55440414507772	0.0173588578844906	GO:0048856	GO:BP	anatomical structure development	18123	15191	1.63002373803432
query_1	TRUE	2.25317980923044e-06	4468	193	86	0.44559585492228	0.0192479856759176	GO:0048869	GO:BP	cellular developmental process	18123	15203	1.80741577411739
query_1	TRUE	3.2317660313229e-06	6678	193	112	0.580310880829015	0.0167714884696017	GO:0032502	GO:BP	developmental process	18123	8832	1.57486883696679
query_1	TRUE	5.79807784425716e-06	4392	193	84	0.435233160621762	0.0191256830601093	GO:0030154	GO:BP	cell differentiation	18123	7739	1.79593136838529
query_1	TRUE	9.82134964541675e-06	2122	193	52	0.269430051813472	0.0245051837888784	GO:0048468	GO:BP	cell development	18123	14850	2.30107484873494
query_1	TRUE	2.80050784204871e-05	157	193	13	0.0673575129533679	0.0828025477707006	GO:0030902	GO:BP	hindbrain development	18123	8071	7.77528794429227
query_1	TRUE	3.59853302833398e-05	3701	193	73	0.378238341968912	0.0197243988111321	GO:0048513	GO:BP	animal organ development	18123	14880	1.85215170805258
query_1	TRUE	3.91470576745318e-05	1159	193	35	0.181347150259067	0.0301984469370147	GO:0048666	GO:BP	neuron development	18123	15012	2.83568110797677
query_1	TRUE	7.75442219178437e-05	114	193	11	0.0569948186528497	0.0964912280701754	GO:0022037	GO:BP	metencephalon development	18123	7596	9.06067630215435
